,cleanProbs,noisyProbs
0,0.140625,0.008870599269404948
1,0.046875,0.10731499102187436
2,0.046875,0.04825420517794035
3,0.140625,0.011999233284363248
4,0.046875,0.06590634611534306
5,0.015625,0.00822663137122121
6,0.015625,0.0738537541475613
7,0.046875,0.08355154038883765
8,0.046875,0.00992933012646448
9,0.015625,0.10983791108217959
10,0.015625,0.10143744961724364
11,0.046875,0.08647051681329933
12,0.140625,0.1113871520402188
13,0.046875,0.04227299099119666
14,0.046875,0.02671746444090971
15,0.140625,0.10396988411194158
